Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Black Cotton Soil,35.00%,32,75,54,1025 mm,Punjab,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Silty Loam,60.00%,59,81,76,721 mm,Karnataka,Rabi,"['Vegetables', 'Mustard', 'Pulses']"
Clayey,44.00%,57,54,107,502 mm,Punjab,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Loamy,18.00%,83,37,51,668 mm,Punjab,Rabi,['Barley']
Sandy Loam,41.00%,87,43,66,1124 mm,Tamil Nadu,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Black Cotton Soil,51.00%,56,22,22,944 mm,Andhra Pradesh,Zaid,"['Cotton', 'Sorghum']"
Loamy,50.00%,107,49,61,329 mm,West Bengal,Zaid,['Maize']
Silty Loam,54.00%,52,88,71,1013 mm,Odisha,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Clayey,36.00%,50,23,31,427 mm,Tamil Nadu,Rabi,['Rice']
Loamy,49.00%,73,67,45,1027 mm,Odisha,Kharif,"['Wheat', 'Barley', 'Maize']"
Clayey,33.00%,86,61,21,803 mm,Andhra Pradesh,Zaid,['Sugarcane']
Sandy Loam,19.00%,57,83,43,760 mm,West Bengal,Kharif,['Cotton']
Silty Loam,39.00%,52,59,101,380 mm,Andhra Pradesh,Rabi,"['Vegetables', 'Mustard']"
Silty Loam,19.00%,44,52,38,591 mm,Tamil Nadu,Zaid,"['Pulses', 'Mustard']"
Silty Loam,60.00%,59,20,43,583 mm,Karnataka,Zaid,"['Pulses', 'Mustard', 'Vegetables']"
Sandy Loam,54.00%,59,34,47,1073 mm,Karnataka,Kharif,"['Chickpea', 'Cotton']"
Black Cotton Soil,44.00%,53,33,43,574 mm,Tamil Nadu,Kharif,"['Sorghum', 'Soybean']"
Black Cotton Soil,34.00%,102,21,97,1043 mm,Karnataka,Rabi,['Soybean']
Black Cotton Soil,38.00%,42,63,105,303 mm,Punjab,Zaid,"['Cotton', 'Soybean']"
Clayey,20.00%,48,64,79,645 mm,Odisha,Zaid,"['Rice', 'Sugarcane']"
Sandy Loam,48.00%,112,53,102,1178 mm,Tamil Nadu,Zaid,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,21.00%,108,56,77,883 mm,Maharashtra,Kharif,['Jute']
Silty Loam,10.00%,40,31,100,870 mm,Andhra Pradesh,Zaid,"['Pulses', 'Vegetables', 'Mustard']"
Black Cotton Soil,18.00%,101,33,107,487 mm,Karnataka,Kharif,"['Sorghum', 'Soybean', 'Cotton']"
Black Cotton Soil,53.00%,84,84,98,346 mm,Andhra Pradesh,Kharif,"['Sorghum', 'Soybean', 'Cotton']"
Sandy Loam,37.00%,74,52,62,952 mm,Karnataka,Zaid,['Groundnut']
Loamy,25.00%,39,75,20,1162 mm,West Bengal,Kharif,['Wheat']
Silty Loam,33.00%,31,41,95,608 mm,Punjab,Kharif,"['Pulses', 'Mustard']"
Loamy,42.00%,67,88,66,743 mm,Andhra Pradesh,Zaid,"['Wheat', 'Barley', 'Maize']"
Black Cotton Soil,18.00%,84,90,82,1086 mm,West Bengal,Kharif,['Sorghum']
Clayey,35.00%,74,76,101,815 mm,West Bengal,Kharif,['Jute']
Silty Loam,12.00%,90,20,96,1093 mm,Tamil Nadu,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,12.00%,44,89,108,596 mm,Tamil Nadu,Kharif,['Cotton']
Black Cotton Soil,58.00%,88,32,56,799 mm,Tamil Nadu,Zaid,"['Sorghum', 'Cotton']"
Silty Loam,10.00%,95,23,83,685 mm,Maharashtra,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Clayey,21.00%,91,40,41,580 mm,West Bengal,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Clayey,24.00%,48,41,62,308 mm,Odisha,Kharif,"['Jute', 'Rice']"
Clayey,13.00%,93,49,20,370 mm,Tamil Nadu,Kharif,"['Sugarcane', 'Rice']"
Loamy,17.00%,36,26,31,894 mm,Andhra Pradesh,Kharif,['Maize']
Black Cotton Soil,56.00%,86,53,102,738 mm,Maharashtra,Zaid,['Sorghum']
Black Cotton Soil,15.00%,47,31,110,586 mm,Odisha,Zaid,"['Cotton', 'Sorghum']"
Sandy Loam,56.00%,99,29,89,1057 mm,Tamil Nadu,Rabi,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,37.00%,34,54,110,869 mm,Andhra Pradesh,Zaid,['Sugarcane']
Sandy Loam,45.00%,48,35,96,731 mm,Andhra Pradesh,Rabi,['Chickpea']
Silty Loam,29.00%,41,56,110,790 mm,Tamil Nadu,Zaid,['Mustard']
Sandy Loam,41.00%,55,28,49,728 mm,West Bengal,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Black Cotton Soil,38.00%,93,57,48,551 mm,Odisha,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Silty Loam,13.00%,77,74,76,824 mm,West Bengal,Zaid,['Mustard']
Silty Loam,30.00%,64,37,107,523 mm,Maharashtra,Zaid,['Vegetables']
Loamy,51.00%,107,34,43,478 mm,Tamil Nadu,Kharif,"['Maize', 'Barley', 'Wheat']"
Sandy Loam,27.00%,111,79,106,335 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton']"
Black Cotton Soil,42.00%,61,59,45,1081 mm,Karnataka,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,26.00%,101,44,85,1195 mm,Punjab,Rabi,['Rice']
Silty Loam,39.00%,68,90,89,499 mm,Maharashtra,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,15.00%,39,69,55,542 mm,Andhra Pradesh,Rabi,"['Soybean', 'Sorghum']"
Black Cotton Soil,42.00%,89,70,73,965 mm,West Bengal,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
Silty Loam,30.00%,114,72,20,546 mm,Punjab,Rabi,"['Vegetables', 'Pulses']"
Sandy Loam,49.00%,71,46,84,520 mm,Punjab,Zaid,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,16.00%,58,81,79,494 mm,Maharashtra,Zaid,['Rice']
Black Cotton Soil,12.00%,103,62,71,934 mm,Odisha,Rabi,['Soybean']
Loamy,47.00%,70,41,80,891 mm,Maharashtra,Rabi,['Wheat']
Loamy,24.00%,101,21,74,1065 mm,Andhra Pradesh,Zaid,['Wheat']
Loamy,24.00%,86,50,94,700 mm,Punjab,Rabi,"['Maize', 'Wheat']"
Clayey,11.00%,61,79,38,884 mm,Punjab,Zaid,['Rice']
Silty Loam,45.00%,106,60,46,318 mm,Tamil Nadu,Zaid,"['Vegetables', 'Mustard']"
Silty Loam,55.00%,66,53,49,551 mm,Karnataka,Rabi,"['Pulses', 'Mustard']"
Clayey,58.00%,49,84,82,679 mm,Punjab,Zaid,['Jute']
Sandy Loam,21.00%,92,68,67,398 mm,Karnataka,Kharif,"['Groundnut', 'Chickpea']"
Black Cotton Soil,15.00%,48,58,70,1180 mm,Punjab,Zaid,"['Sorghum', 'Cotton', 'Soybean']"
Silty Loam,11.00%,45,49,100,858 mm,Punjab,Rabi,['Mustard']
Black Cotton Soil,44.00%,65,77,45,770 mm,Maharashtra,Kharif,"['Soybean', 'Cotton']"
Loamy,48.00%,47,83,34,367 mm,Odisha,Kharif,"['Barley', 'Wheat', 'Maize']"
Silty Loam,22.00%,118,34,31,335 mm,Karnataka,Kharif,"['Mustard', 'Pulses', 'Vegetables']"
Loamy,20.00%,68,83,71,997 mm,Odisha,Rabi,"['Maize', 'Wheat', 'Barley']"
Loamy,30.00%,50,56,93,1124 mm,Odisha,Kharif,"['Barley', 'Maize']"
Clayey,56.00%,65,22,91,765 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Loamy,54.00%,104,44,68,1134 mm,Karnataka,Zaid,"['Wheat', 'Maize']"
Sandy Loam,50.00%,63,90,100,880 mm,Maharashtra,Zaid,"['Chickpea', 'Groundnut']"
Loamy,21.00%,55,40,69,726 mm,Odisha,Zaid,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,30.00%,71,71,25,945 mm,Tamil Nadu,Rabi,"['Chickpea', 'Cotton']"
Black Cotton Soil,33.00%,89,47,88,1045 mm,Odisha,Zaid,['Sorghum']
Black Cotton Soil,54.00%,103,26,76,460 mm,West Bengal,Rabi,['Sorghum']
Clayey,24.00%,42,40,64,637 mm,Punjab,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,23.00%,65,62,84,1123 mm,Punjab,Rabi,"['Chickpea', 'Cotton']"
Clayey,19.00%,113,60,34,582 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Jute']"
Black Cotton Soil,45.00%,37,63,24,1109 mm,Maharashtra,Rabi,"['Cotton', 'Sorghum']"
Black Cotton Soil,43.00%,112,33,66,881 mm,Karnataka,Rabi,['Sorghum']
Loamy,56.00%,62,33,100,869 mm,Odisha,Rabi,"['Maize', 'Barley', 'Wheat']"
Black Cotton Soil,12.00%,86,59,37,733 mm,Andhra Pradesh,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Loamy,42.00%,108,31,88,1168 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize']"
Silty Loam,53.00%,119,45,82,455 mm,Odisha,Kharif,"['Mustard', 'Vegetables']"
Sandy Loam,50.00%,102,41,50,981 mm,Tamil Nadu,Kharif,"['Chickpea', 'Cotton']"
Sandy Loam,50.00%,47,47,40,705 mm,Maharashtra,Rabi,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,16.00%,51,35,94,1198 mm,Punjab,Zaid,['Wheat']
Clayey,42.00%,42,52,81,602 mm,Karnataka,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,16.00%,39,79,39,965 mm,West Bengal,Zaid,"['Groundnut', 'Cotton']"
Clayey,28.00%,66,58,81,302 mm,Karnataka,Rabi,['Sugarcane']
Sandy Loam,18.00%,44,87,34,945 mm,Maharashtra,Kharif,['Groundnut']
Loamy,11.00%,54,30,88,931 mm,Punjab,Rabi,['Barley']
Sandy Loam,41.00%,84,64,59,1128 mm,Maharashtra,Zaid,"['Chickpea', 'Groundnut']"
Clayey,59.00%,101,23,44,335 mm,Karnataka,Kharif,"['Jute', 'Rice']"
Silty Loam,53.00%,58,76,77,453 mm,Odisha,Zaid,['Vegetables']
Sandy Loam,50.00%,80,76,42,1032 mm,Karnataka,Kharif,['Groundnut']
Silty Loam,57.00%,97,68,106,1017 mm,Karnataka,Rabi,"['Mustard', 'Pulses']"
Black Cotton Soil,54.00%,68,46,43,975 mm,Odisha,Rabi,['Cotton']
Clayey,25.00%,81,42,85,672 mm,Karnataka,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Clayey,30.00%,88,33,43,1071 mm,Tamil Nadu,Rabi,['Rice']
Silty Loam,44.00%,90,34,26,487 mm,Tamil Nadu,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Sandy Loam,54.00%,85,76,76,377 mm,Maharashtra,Rabi,"['Chickpea', 'Groundnut']"
Silty Loam,49.00%,77,34,76,757 mm,Andhra Pradesh,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,46.00%,72,54,62,420 mm,Karnataka,Zaid,['Cotton']
Black Cotton Soil,56.00%,45,47,74,426 mm,Odisha,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Silty Loam,15.00%,64,72,92,388 mm,Karnataka,Rabi,"['Vegetables', 'Pulses']"
Black Cotton Soil,45.00%,82,27,45,1089 mm,Andhra Pradesh,Rabi,['Sorghum']
Sandy Loam,42.00%,35,68,24,1097 mm,West Bengal,Rabi,['Cotton']
Clayey,21.00%,64,40,57,1014 mm,Punjab,Rabi,"['Jute', 'Sugarcane']"
Sandy Loam,17.00%,108,80,36,604 mm,Maharashtra,Kharif,"['Chickpea', 'Groundnut']"
Loamy,32.00%,101,70,31,1106 mm,Punjab,Zaid,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,10.00%,88,42,21,1117 mm,Maharashtra,Rabi,"['Chickpea', 'Groundnut']"
Silty Loam,25.00%,74,64,77,1066 mm,West Bengal,Rabi,['Pulses']
Clayey,41.00%,34,89,68,518 mm,Odisha,Rabi,"['Jute', 'Sugarcane']"
Silty Loam,35.00%,92,60,54,939 mm,Punjab,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Silty Loam,53.00%,78,29,28,483 mm,Maharashtra,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Clayey,20.00%,49,57,62,1191 mm,Andhra Pradesh,Kharif,"['Sugarcane', 'Rice', 'Jute']"
Loamy,35.00%,86,52,53,878 mm,Karnataka,Rabi,"['Barley', 'Maize']"
Loamy,34.00%,72,25,88,1082 mm,Punjab,Zaid,['Wheat']
Loamy,18.00%,74,87,77,547 mm,Andhra Pradesh,Zaid,"['Maize', 'Barley']"
Loamy,49.00%,33,76,98,1146 mm,West Bengal,Kharif,['Barley']
Silty Loam,37.00%,48,69,60,473 mm,Andhra Pradesh,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,16.00%,120,45,57,344 mm,Tamil Nadu,Kharif,"['Cotton', 'Chickpea']"
Loamy,39.00%,75,41,81,799 mm,Tamil Nadu,Rabi,"['Maize', 'Wheat']"
Clayey,38.00%,68,78,58,631 mm,Odisha,Rabi,"['Sugarcane', 'Jute']"
Sandy Loam,20.00%,97,31,102,1143 mm,Karnataka,Zaid,"['Chickpea', 'Groundnut']"
Silty Loam,26.00%,32,29,92,639 mm,Punjab,Kharif,['Pulses']
Sandy Loam,25.00%,87,86,34,686 mm,Punjab,Rabi,"['Cotton', 'Groundnut']"
Silty Loam,25.00%,101,81,36,792 mm,Karnataka,Rabi,['Mustard']
Silty Loam,42.00%,112,74,26,362 mm,Andhra Pradesh,Kharif,"['Pulses', 'Mustard']"
Clayey,23.00%,117,44,30,561 mm,Andhra Pradesh,Zaid,['Sugarcane']
Black Cotton Soil,47.00%,109,23,92,448 mm,West Bengal,Zaid,"['Cotton', 'Soybean', 'Sorghum']"
Black Cotton Soil,42.00%,82,72,34,941 mm,Maharashtra,Zaid,['Sorghum']
Black Cotton Soil,41.00%,74,70,20,770 mm,Karnataka,Zaid,"['Soybean', 'Cotton']"
Silty Loam,37.00%,45,34,75,513 mm,Andhra Pradesh,Kharif,['Pulses']
Clayey,55.00%,89,29,100,931 mm,Andhra Pradesh,Zaid,"['Jute', 'Rice']"
Loamy,52.00%,47,27,61,1181 mm,Odisha,Zaid,['Barley']
Clayey,16.00%,40,61,104,457 mm,West Bengal,Zaid,['Sugarcane']
Black Cotton Soil,22.00%,31,73,99,727 mm,Odisha,Kharif,"['Cotton', 'Soybean']"
Silty Loam,27.00%,58,75,110,522 mm,Karnataka,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Clayey,16.00%,81,37,101,703 mm,Odisha,Rabi,['Rice']
Sandy Loam,45.00%,116,51,58,1146 mm,Punjab,Zaid,"['Cotton', 'Chickpea', 'Groundnut']"
Black Cotton Soil,14.00%,91,83,69,704 mm,Tamil Nadu,Rabi,['Sorghum']
Sandy Loam,19.00%,99,53,25,721 mm,Andhra Pradesh,Kharif,['Chickpea']
Clayey,18.00%,63,45,79,794 mm,Tamil Nadu,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Loamy,49.00%,38,32,29,833 mm,Karnataka,Rabi,"['Barley', 'Maize', 'Wheat']"
Loamy,20.00%,100,22,43,340 mm,Maharashtra,Kharif,['Maize']
Clayey,25.00%,79,30,56,780 mm,Odisha,Zaid,['Sugarcane']
Sandy Loam,49.00%,93,54,35,1036 mm,Punjab,Kharif,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,28.00%,32,67,63,1093 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Rice']"
Clayey,48.00%,39,88,98,1113 mm,Karnataka,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Loamy,54.00%,62,25,105,480 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize', 'Wheat']"
Black Cotton Soil,51.00%,71,29,37,482 mm,Tamil Nadu,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Sandy Loam,23.00%,52,68,27,1047 mm,Tamil Nadu,Rabi,"['Chickpea', 'Cotton']"
Silty Loam,53.00%,73,22,98,460 mm,Maharashtra,Zaid,"['Pulses', 'Mustard', 'Vegetables']"
Clayey,14.00%,79,35,53,478 mm,West Bengal,Zaid,['Sugarcane']
Black Cotton Soil,33.00%,86,24,33,1169 mm,Punjab,Zaid,"['Soybean', 'Cotton']"
Loamy,29.00%,35,70,94,982 mm,Tamil Nadu,Kharif,['Barley']
Black Cotton Soil,59.00%,60,33,39,432 mm,Odisha,Rabi,"['Sorghum', 'Cotton']"
Loamy,31.00%,95,86,38,873 mm,Karnataka,Zaid,"['Barley', 'Wheat']"
Black Cotton Soil,26.00%,115,59,54,410 mm,Maharashtra,Zaid,"['Sorghum', 'Soybean']"
Black Cotton Soil,32.00%,113,35,57,452 mm,West Bengal,Kharif,"['Soybean', 'Sorghum', 'Cotton']"
Clayey,17.00%,71,60,71,763 mm,Odisha,Rabi,['Jute']
Silty Loam,46.00%,49,75,101,1181 mm,West Bengal,Rabi,"['Vegetables', 'Mustard', 'Pulses']"
Sandy Loam,32.00%,32,30,60,416 mm,Punjab,Kharif,['Chickpea']
Loamy,29.00%,80,65,56,485 mm,Karnataka,Zaid,"['Wheat', 'Maize', 'Barley']"
Sandy Loam,37.00%,35,46,21,1194 mm,Andhra Pradesh,Zaid,"['Cotton', 'Groundnut', 'Chickpea']"
Sandy Loam,54.00%,105,70,60,494 mm,Odisha,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Black Cotton Soil,16.00%,48,42,80,567 mm,Karnataka,Kharif,"['Soybean', 'Sorghum']"
Loamy,34.00%,35,85,32,585 mm,Punjab,Kharif,"['Barley', 'Maize']"
Black Cotton Soil,22.00%,94,42,95,325 mm,West Bengal,Kharif,['Sorghum']
Sandy Loam,36.00%,63,60,103,416 mm,West Bengal,Zaid,['Groundnut']
Black Cotton Soil,33.00%,100,82,71,746 mm,Odisha,Rabi,"['Cotton', 'Soybean', 'Sorghum']"
Loamy,40.00%,35,55,64,636 mm,Odisha,Rabi,"['Maize', 'Wheat', 'Barley']"
Silty Loam,20.00%,38,63,21,1182 mm,Karnataka,Kharif,['Pulses']
Clayey,55.00%,31,38,46,930 mm,West Bengal,Rabi,"['Sugarcane', 'Jute', 'Rice']"
Clayey,23.00%,75,22,72,387 mm,Punjab,Kharif,"['Rice', 'Sugarcane']"
Silty Loam,38.00%,88,48,28,487 mm,Karnataka,Rabi,"['Vegetables', 'Pulses']"
Loamy,33.00%,95,35,90,721 mm,Odisha,Kharif,['Barley']
Loamy,31.00%,47,62,98,996 mm,Tamil Nadu,Kharif,['Barley']
Black Cotton Soil,31.00%,76,86,88,643 mm,West Bengal,Rabi,"['Sorghum', 'Soybean']"
Clayey,23.00%,53,27,84,833 mm,Odisha,Zaid,"['Rice', 'Jute', 'Sugarcane']"
Loamy,30.00%,44,70,110,807 mm,Maharashtra,Rabi,['Barley']
Silty Loam,16.00%,96,33,54,1063 mm,Tamil Nadu,Rabi,['Mustard']
Clayey,21.00%,113,22,77,555 mm,Andhra Pradesh,Kharif,['Sugarcane']
Loamy,43.00%,66,58,69,734 mm,Tamil Nadu,Zaid,"['Maize', 'Barley', 'Wheat']"
Loamy,12.00%,55,30,71,1152 mm,Maharashtra,Rabi,['Maize']
Black Cotton Soil,25.00%,114,68,46,1089 mm,Tamil Nadu,Rabi,"['Soybean', 'Sorghum']"
Loamy,41.00%,47,32,30,1021 mm,Punjab,Kharif,"['Wheat', 'Barley']"
Sandy Loam,13.00%,81,56,52,852 mm,Punjab,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Black Cotton Soil,52.00%,94,36,95,339 mm,Karnataka,Zaid,"['Soybean', 'Cotton']"
Clayey,19.00%,92,65,69,962 mm,Andhra Pradesh,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,43.00%,84,52,69,924 mm,Tamil Nadu,Zaid,"['Groundnut', 'Cotton']"
Loamy,58.00%,45,66,97,919 mm,Punjab,Kharif,['Barley']
Black Cotton Soil,48.00%,118,90,58,888 mm,Maharashtra,Rabi,['Cotton']
Clayey,25.00%,56,32,65,364 mm,Maharashtra,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Black Cotton Soil,33.00%,52,40,43,1166 mm,Karnataka,Zaid,"['Cotton', 'Soybean', 'Sorghum']"
Loamy,29.00%,35,72,40,432 mm,Andhra Pradesh,Zaid,['Barley']
Sandy Loam,43.00%,63,71,59,436 mm,Odisha,Zaid,['Groundnut']
Silty Loam,18.00%,57,56,90,428 mm,Maharashtra,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,38.00%,87,24,52,438 mm,Andhra Pradesh,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Sandy Loam,36.00%,88,86,77,817 mm,Maharashtra,Rabi,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,56.00%,118,83,98,970 mm,Andhra Pradesh,Kharif,['Maize']
Silty Loam,37.00%,81,65,65,428 mm,Punjab,Zaid,['Mustard']
Loamy,54.00%,92,58,24,525 mm,Maharashtra,Rabi,"['Maize', 'Wheat']"
Loamy,46.00%,42,70,43,965 mm,Andhra Pradesh,Kharif,"['Maize', 'Barley', 'Wheat']"
Loamy,20.00%,76,20,48,782 mm,Punjab,Rabi,['Barley']
Black Cotton Soil,34.00%,47,44,95,319 mm,Karnataka,Rabi,['Cotton']
Loamy,19.00%,97,74,101,572 mm,Tamil Nadu,Rabi,"['Maize', 'Barley']"
Loamy,34.00%,110,48,81,420 mm,Andhra Pradesh,Zaid,['Barley']
Silty Loam,31.00%,53,56,75,838 mm,Tamil Nadu,Kharif,"['Mustard', 'Vegetables']"
Clayey,47.00%,51,38,100,1059 mm,Punjab,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Clayey,45.00%,107,25,83,1069 mm,Odisha,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Black Cotton Soil,25.00%,77,87,50,857 mm,Maharashtra,Rabi,"['Sorghum', 'Soybean']"
Black Cotton Soil,50.00%,115,51,64,513 mm,Tamil Nadu,Kharif,"['Sorghum', 'Soybean', 'Cotton']"
Clayey,59.00%,97,82,23,613 mm,West Bengal,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Silty Loam,44.00%,63,34,47,1055 mm,Odisha,Zaid,['Pulses']
Sandy Loam,25.00%,36,34,69,786 mm,Maharashtra,Rabi,['Cotton']
Black Cotton Soil,43.00%,50,37,20,819 mm,Andhra Pradesh,Zaid,"['Sorghum', 'Soybean']"
Loamy,15.00%,69,67,89,916 mm,Andhra Pradesh,Kharif,"['Barley', 'Wheat', 'Maize']"
Clayey,33.00%,58,81,100,1188 mm,Maharashtra,Rabi,"['Jute', 'Sugarcane']"
Black Cotton Soil,28.00%,69,44,66,1067 mm,West Bengal,Rabi,"['Sorghum', 'Soybean']"
Loamy,16.00%,91,20,88,1136 mm,Maharashtra,Zaid,"['Barley', 'Wheat']"
Clayey,39.00%,73,40,98,958 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,16.00%,108,81,77,345 mm,West Bengal,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Loamy,23.00%,33,85,105,556 mm,Punjab,Rabi,"['Maize', 'Wheat', 'Barley']"
Sandy Loam,21.00%,86,76,35,1161 mm,Karnataka,Rabi,['Chickpea']
Silty Loam,19.00%,86,70,59,372 mm,West Bengal,Kharif,"['Pulses', 'Mustard']"
Clayey,22.00%,115,42,62,801 mm,Maharashtra,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,14.00%,86,74,61,812 mm,Maharashtra,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Silty Loam,48.00%,64,63,44,736 mm,Punjab,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,24.00%,115,79,82,917 mm,West Bengal,Zaid,['Cotton']
Loamy,43.00%,43,83,48,532 mm,Andhra Pradesh,Zaid,"['Wheat', 'Barley', 'Maize']"
Sandy Loam,53.00%,96,75,65,774 mm,Maharashtra,Rabi,['Cotton']
Silty Loam,54.00%,71,26,99,767 mm,Andhra Pradesh,Kharif,"['Pulses', 'Vegetables']"
Clayey,58.00%,86,72,45,936 mm,Karnataka,Rabi,['Sugarcane']
Silty Loam,52.00%,92,34,42,486 mm,Odisha,Kharif,['Mustard']
Clayey,30.00%,64,20,89,741 mm,Maharashtra,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Clayey,24.00%,96,78,23,441 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Rice']"
Sandy Loam,57.00%,54,90,92,1199 mm,Odisha,Zaid,"['Chickpea', 'Cotton']"
Clayey,55.00%,32,33,59,709 mm,Tamil Nadu,Zaid,['Jute']
Clayey,46.00%,63,28,101,705 mm,Karnataka,Rabi,['Rice']
Black Cotton Soil,26.00%,35,32,54,732 mm,West Bengal,Kharif,['Cotton']
Clayey,51.00%,58,35,53,437 mm,Karnataka,Kharif,"['Rice', 'Jute']"
Clayey,43.00%,87,65,83,1041 mm,Odisha,Kharif,['Rice']
Loamy,54.00%,82,70,55,351 mm,Karnataka,Kharif,"['Maize', 'Barley', 'Wheat']"
Loamy,50.00%,115,50,29,638 mm,Karnataka,Kharif,"['Maize', 'Wheat']"
Loamy,19.00%,109,76,89,344 mm,Maharashtra,Zaid,"['Wheat', 'Barley', 'Maize']"
Sandy Loam,15.00%,115,23,33,381 mm,West Bengal,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Black Cotton Soil,41.00%,82,39,109,1077 mm,Punjab,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Silty Loam,25.00%,117,24,64,1193 mm,Karnataka,Kharif,['Pulses']
Black Cotton Soil,33.00%,108,68,25,750 mm,Andhra Pradesh,Rabi,"['Cotton', 'Sorghum', 'Soybean']"
Silty Loam,46.00%,41,63,104,808 mm,Tamil Nadu,Zaid,"['Vegetables', 'Mustard', 'Pulses']"
Black Cotton Soil,55.00%,81,86,68,1194 mm,West Bengal,Zaid,"['Soybean', 'Cotton']"
Loamy,34.00%,42,83,61,1022 mm,Punjab,Kharif,"['Maize', 'Wheat']"
Loamy,40.00%,31,63,77,403 mm,West Bengal,Zaid,"['Barley', 'Wheat']"
Sandy Loam,18.00%,114,43,95,401 mm,Maharashtra,Kharif,"['Chickpea', 'Cotton', 'Groundnut']"
Sandy Loam,16.00%,51,38,96,835 mm,Odisha,Zaid,"['Groundnut', 'Cotton']"
Clayey,33.00%,59,62,73,522 mm,Andhra Pradesh,Zaid,"['Rice', 'Jute']"
Loamy,38.00%,119,40,43,463 mm,West Bengal,Rabi,['Maize']
Silty Loam,33.00%,51,46,72,690 mm,West Bengal,Kharif,"['Vegetables', 'Mustard', 'Pulses']"
Loamy,13.00%,74,61,43,836 mm,Maharashtra,Rabi,"['Maize', 'Wheat', 'Barley']"
Sandy Loam,13.00%,92,40,35,815 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,17.00%,100,32,48,973 mm,Punjab,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,35.00%,109,89,35,681 mm,Odisha,Rabi,['Chickpea']
Black Cotton Soil,48.00%,112,54,28,568 mm,Odisha,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
